"ID","TabID","TierID","ColumnIndex","SpellRank_1","SpellRank_2","SpellRank_3","SpellRank_4","SpellRank_5","SpellRank_6","SpellRank_7","SpellRank_8","SpellRank_9","PrereqTalent_1","PrereqTalent_2","PrereqTalent_3","PrereqRank_1","PrereqRank_2","PrereqRank_3","Flags","RequiredSpellID","CategoryMask_1","CategoryMask_2"
"4541","0","0","0","706639","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5195","0","0","0","503570","806608","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5474","0","0","0","560013","560852","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5961","0","0","0","706312","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5962","0","0","0","300523","706313","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5963","0","0","0","705260","706316","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5964","0","0","0","706320","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5965","0","0","0","706318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5966","0","0","0","706326","706327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5967","0","0","0","706329","706330","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5968","0","0","0","706323","706324","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5969","0","0","0","706334","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5971","0","0","0","705176","706348","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5972","0","0","0","706350","706351","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5973","0","0","0","706346","706347","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5974","0","0","0","706340","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5975","0","0","0","706357","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5976","0","0","0","706361","706362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5977","0","0","0","706363","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5978","0","0","0","706368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5979","0","0","0","706372","706373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5980","0","0","0","706370","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5981","0","0","0","706375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5983","0","0","0","706382","706383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7048","0","0","0","704812","707803","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7891","0","0","0","706674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7949","0","0","0","801226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8744","0","0","0","300708","520569","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8747","0","0","0","705517","680246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9347","0","0","0","504459","504636","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000","0","0","0","273663","273664","273665","273666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10001","0","0","0","278700","278701","278702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10002","0","0","0","278703","278704","278705","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10003","0","0","0","278706","278707","278708","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10004","0","0","0","278709","278710","278711","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005","0","0","0","278712","278713","278714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10006","0","0","0","278715","278716","278717","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
